Altium Designer Pick and Place Locations
D:\个人提升技能\电子技能\项目储备库\机器狗项目\机器狗项目\硬件工程\驱动工程\Project Outputs for 双电机驱动板\Pick Place for qudong .txt

========================================================================================================================
File Design Information:

Date:       14/03/26
Time:       13:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator   Comment            Layer       Footprint                             Center-X(mil) Center-Y(mil) Rotation Description                   
Designator12 Comment            BottomLayer FU芙莉连                                 0.000         0.000         180      ""                            
Designator11 Comment            TopLayer    FU芙莉连                                 0.000         0.000         360      ""                            
J3           CON2               TopLayer    CONN-TH_XT60PW-M_-_duplicate          4160.002      4610.000      180      Connector                     
R43          5K                 TopLayer    R0402                                 3817.000      3205.100      90       大功率电阻                         
R42          1K                 TopLayer    R0402                                 3830.000      3056.100      90       大功率电阻                         
U6           AMS1117-3.3        TopLayer    SOT223_L                              3684.000      3415.000      180      ""                            
LED2         红色                 TopLayer    LED0805                               3674.850      3189.900      180      贴片LED                         
LED1         红色                 TopLayer    LED0805                               3701.850      3040.900      180      贴片LED                         
C47          100nF              TopLayer    C0603                                 3782.500      3616.895      180      C_                            
C46          100nF              TopLayer    C0603                                 3879.000      3373.500      270      C_                            
C38          X5R                TopLayer    C0402                                 3625.000      4298.000      270      Capacitor                     
R35          Res2               TopLayer    R0402                                 3544.900      4295.000      180      Resistor                      
Y1           "8MHz ±10ppm 12pF" TopLayer    XTAL-3225                             2530.000      3950.000      360      ""                            
U5           TPS54331DR         TopLayer    SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL       3665.000      4070.000      180      ""                            
U4           DRV8316CTQRGFRQ1   TopLayer    VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7      2705.515      4469.525      90       ""                            
U3           DRV8316CTQRGFRQ1   TopLayer    VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7      2780.000      3335.000      270      ""                            
U2           STM32G431RBT6      TopLayer    LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL   2921.000      3895.000      270      ""                            
U1           TCAN332DR          TopLayer    SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL       3405.000      3496.000      180      ""                            
SW1          3x6x5              TopLayer    C0402                                 2286.000      3993.000      180      3x6轻触开关                       
R41          Res2               TopLayer    R1210                                 3319.000      4718.500      270      Resistor                      
R40          Res2               TopLayer    R1210                                 3319.000      4467.500      270      Resistor                      
R39          Res2               TopLayer    R0402                                 3509.100      3960.000      360      Resistor                      
R38          Res2               TopLayer    R0402                                 3840.000      4069.900      270      Resistor                      
R37          Res2               TopLayer    R0402                                 3545.900      4245.000      180      Resistor                      
R36          Res2               TopLayer    R0402                                 3810.000      4175.900      270      Resistor                      
R34          10K                TopLayer    R0402                                 2283.900      3943.000      180      大功率电阻                         
R33          1M                 TopLayer    R0402                                 2430.000      3945.900      270      大功率电阻                         
R32          Res2               TopLayer    R0402                                 2410.900      4600.000      180      Resistor                      
R31          Res2               TopLayer    R0402                                 2414.100      4382.000      360      Resistor                      
R30          NC                 TopLayer    R0402                                 2515.100      4371.000      360      Resistor                      
R29          NC                 TopLayer    R0402                                 2414.100      4437.667      360      Resistor                      
